,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Jai Bhim,-2021,164 min,9.4,N/A,"180,702",N/A,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
1,Soorarai Pottru,-2020,153 min,9.3,N/A,"108,490",N/A,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
2,The Shawshank Redemption,-1994,142 min,9.3,81,"2,559,534",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
3,The Godfather,-1972,175 min,9.2,100,"1,761,949",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
4,The Dark Knight,-2008,152 min,9.1,84,"2,519,388",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,The Lord of the Rings: The Return of the King,-2003,201 min,9,94,"1,762,714",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6,Schindler's List,-1993,195 min,9,94,"1,305,269",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
7,The Godfather: Part II,-1974,202 min,9,90,"1,220,139",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
8,12 Angry Men,-1957,96 min,9,96,"756,232",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
9,Dara iz Jasenovca,-2020,130 min,8.9,N/A,"80,480",N/A,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
10,Shershaah,-2021,135 min,8.9,N/A,"114,701",N/A,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999."
11,The Lord of the Rings: The Fellowship of the Ring,-2001,178 min,8.9,92,"1,784,602",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Pulp Fiction,-1994,154 min,8.9,94,"1,966,461",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
13,Inception,-2010,148 min,8.8,74,"2,247,417",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
14,Sardar Udham,-2021,164 min,8.8,N/A,"37,586",N/A,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
15,The Lord of the Rings: The Two Towers,-2002,179 min,8.8,87,"1,592,520",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
16,Fight Club,-1999,139 min,8.8,66,"2,014,657",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
17,Forrest Gump,-1994,142 min,8.8,82,"1,974,976",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
18,"Il buono, il brutto, il cattivo",-1966,161 min,8.8,90,"737,162",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
